year,quarter,tickersymbol,value,code
2018,1,ANV,1469580835207.0000,4100
2018,1,ANV,1250446250000.0000,4110
2018,1,APC,34181874997.0000,10
2018,1,APC,10225732628.0000,21
2018,1,APC,23956142369.0000,30
2018,1,APC,13712771755.0000,70
2018,1,APC,13712771755.0000,72
2018,1,APC,30655796488.0000,1100
2018,1,APC,96689132425.0000,1300
2018,1,APC,95886636.0000,1400
2018,1,APC,26548855742.0000,3100
2018,1,APC,284420502785.0000,4100
2018,1,APC,120204000000.0000,4110
2018,1,APF,971503859032.0000,10
2018,1,APF,863954998090.0000,21
2018,1,APF,107548860942.0000,30
2018,1,APF,34832445522.0000,70
2018,1,APF,25602667091.0000,72
2018,1,APF,27904770181.0000,1100
2018,1,APF,272030433793.0000,1300
2018,1,APF,1095358403097.0000,1400
2018,1,APF,1741174191115.0000,3100
2018,1,APF,566265263015.0000,4100
2018,1,APF,130722680000.0000,4110
2018,1,API,71779768100.0000,10
2018,1,API,59347146153.0000,21
2018,1,API,12432621947.0000,30
2018,1,API,9338132024.0000,70
2018,1,API,9338132024.0000,72
2018,1,API,156939662818.0000,1100
2018,1,API,14155649543.0000,1200
2018,1,API,494408686193.0000,1300
2018,1,API,696369115082.0000,1400
2018,1,API,988150072940.0000,3100
2018,1,API,438175257616.0000,4100
2018,1,API,364000000000.0000,4110
2018,1,APP,25031823503.0000,10
2018,1,APP,18184143928.0000,21
2018,1,APP,6603618668.0000,30
2018,1,APP,342648074.0000,70
2018,1,APP,342648074.0000,72
2018,1,APP,1239731941.0000,1100
2018,1,APP,16086865717.0000,1300
2018,1,APP,49679270366.0000,1400
2018,1,APP,31257557498.0000,3100
2018,1,APP,48863087647.0000,4100
2018,1,APP,44116550000.0000,4110
2018,1,ARM,63033615691.0000,10
2018,1,ARM,52217891387.0000,21
2018,1,ARM,10815724304.0000,30
2018,1,ARM,2209484144.0000,70
2018,1,ARM,2209484144.0000,72
2018,1,ARM,8267285864.0000,1100
2018,1,ARM,64072401895.0000,1300
2018,1,ARM,8200096286.0000,1400
2018,1,ARM,47563228078.0000,3100
2018,1,ARM,40446206651.0000,4100
2018,1,ARM,25927400000.0000,4110
2018,1,ASA,13359542549.0000,10
2018,1,ASA,13077694064.0000,21
2018,1,ASA,281848485.0000,30
2018,1,ASA,150732081.0000,70
2018,1,ASA,150732081.0000,72
2018,1,ASA,3255702250.0000,1100
2018,1,ASA,35074233167.0000,1300
2018,1,ASA,7115411073.0000,1400
2018,1,ASA,24299612175.0000,3100
2018,1,ASA,93323608990.0000,4100
2018,1,ASA,100000000000.0000,4110
2018,1,ASG,124692220119.0000,10
2018,1,ASG,76856723120.0000,21
2018,1,ASG,47452164359.0000,30
2018,1,ASG,35134237983.0000,70
2018,1,ASG,37156689226.0000,72
2018,1,ASM,668043814804.0000,10
2018,1,ASM,534269434380.0000,21
2018,1,ASM,110709325130.0000,30
2018,1,ASM,493902766732.0000,70
2018,1,ASM,493775624594.0000,72
2018,1,ASM,589723317887.0000,1100
2018,1,ASM,685319446800.0000,1200
2018,1,ASM,3962264886823.0000,1300
2018,1,ASM,1761875541628.0000,1400
2018,1,ASM,5196281604837.0000,3100
2018,1,ASM,4973582713528.0000,4100
2018,1,ASM,2419338530000.0000,4110
2018,1,ASP,558301033186.0000,10
2018,1,ASP,428455902535.0000,21
2018,1,ASP,106325099728.0000,30
2018,1,ASP,6430145830.0000,70
2018,1,ASP,6454699832.0000,72
2018,1,ASP,63708032286.0000,1100
2018,1,ASP,127881082827.0000,1200
2018,1,ASP,227646708058.0000,1300
2018,1,ASP,62104970241.0000,1400
2018,1,ASP,736046414797.0000,3100
2018,1,ASP,430547513959.0000,4100
2018,1,ASP,373399290000.0000,4110
2018,1,AST,210152648639.0000,10
2018,1,AST,93312026795.0000,21
2018,1,AST,116838272844.0000,30
2018,1,AST,41828277598.0000,70
2018,1,AST,40775194786.0000,72
2018,1,AST,215615211000.0000,1100
2018,1,AST,32620220000.0000,1300
2018,1,AST,40539440000.0000,1400
2018,1,AST,123003737000.0000,3100
2018,1,AST,508088153000.0000,4100
2018,1,AST,360000000000.0000,4110
2018,1,ATB,13299190148.0000,10
2018,1,ATB,11481874873.0000,21
2018,1,ATB,1817315275.0000,30
2018,1,ATB,733809488.0000,70
2018,1,ATB,733809488.0000,72
2018,1,ATB,1502490264.0000,1100
2018,1,ATB,86994640143.0000,1300
2018,1,ATB,7332116321.0000,1400
2018,1,ATB,100259243515.0000,3100
2018,1,ATB,154155078745.0000,4100
2018,1,ATB,138840000000.0000,4110
2018,1,ATG,8122793579.0000,10
2018,1,ATG,7851688834.0000,21
2018,1,ATG,271104745.0000,30
2018,1,ATG,98195201.0000,70
2018,1,ATG,98195201.0000,72
2018,1,ATG,1923976472.0000,1100
2018,1,ATG,161665529762.0000,1300
2018,1,ATG,39814864414.0000,3100
2018,1,ATG,159133770018.0000,4100
2018,1,ATG,152200000000.0000,4110
2018,1,ATS,15039801369.0000,10
2018,1,ATS,13303036507.0000,21
2018,1,ATS,1736764862.0000,30
2018,1,ATS,131338773.0000,70
2018,1,ATS,131338773.0000,72
2018,1,ATS,1302682361.0000,1100
2018,1,ATS,46870290161.0000,1300
2018,1,ATS,3049031128.0000,1400
2018,1,ATS,33490988091.0000,3100
2018,1,ATS,41833540046.0000,4100
2018,1,ATS,35000000000.0000,4110
2018,1,AVC,223394572597.0000,10
2018,1,AVC,108706813533.0000,21
2018,1,AVC,114687759064.0000,30
2018,1,AVC,88764813535.0000,70
2018,1,AVC,88764813535.0000,72
2018,1,AVC,452202972775.0000,1100
2018,1,AVC,84461484362.0000,1300
2018,1,AVC,6824737861.0000,1400
2018,1,AVC,124345876267.0000,3100
2018,1,AVC,1338269037532.0000,4100
2018,1,AVC,750520520000.0000,4110
2018,1,AVF,26059772316.0000,10
2018,1,AVF,23988199274.0000,21
2018,1,AVF,2071573042.0000,30
2018,1,AVF,-21358643908.0000,70
2018,1,AVF,-21358643908.0000,72
2018,1,AVF,68432626.0000,1100
2018,1,AVF,2061569464.0000,1300
2018,1,AVF,473286326.0000,1400
2018,1,AVF,1772524762211.0000,3100
2018,1,AVF,-1684319788149.0000,4100
2018,1,AVF,433380000000.0000,4110
2018,1,B82,3822003041.0000,10
2018,1,B82,2851471111.0000,21
2018,1,B82,970531930.0000,30
2018,1,B82,68598972.0000,70
2018,1,B82,68598972.0000,72
2018,1,BAX,14495702507.0000,10
2018,1,BAX,7188260715.0000,21
2018,1,BAX,7307441792.0000,30
2018,1,BAX,4883161689.0000,70
2018,1,BAX,4883161689.0000,72
2018,1,BAX,52164260142.0000,1100
2018,1,BAX,4000000000.0000,1200
2018,1,BAX,7219301855.0000,1300
2018,1,BAX,63597083744.0000,3100
2018,1,BAX,129935184280.0000,4100
2018,1,BAX,82000000000.0000,4110
2018,1,BBC,298173948047.0000,10
2018,1,BBC,207202228575.0000,21
2018,1,BBC,88737635938.0000,30
2018,1,BBC,17866523207.0000,70
2018,1,BBC,17866523207.0000,72
2018,1,BBC,387468777373.0000,1100
2018,1,BBC,166510918659.0000,1200
2018,1,BBC,99136040871.0000,1300
2018,1,BBC,93016257884.0000,1400
2018,1,BBC,196278796830.0000,3100
2018,1,BBC,835042025715.0000,4100
2018,1,BBC,154207820000.0000,4110
2018,1,BBS,94460522615.0000,10
2018,1,BBS,86431355275.0000,21
2018,1,BBS,8029167340.0000,30
2018,1,BBS,688554997.0000,70
2018,1,BBS,688554997.0000,72
2018,1,BBS,2592267640.0000,1100
2018,1,BBS,135339996787.0000,1300
2018,1,BBS,35105708515.0000,1400
2018,1,BBS,214094120644.0000,3100
2018,1,BBS,104030808953.0000,4100
2018,1,BBS,60000000000.0000,4110
2018,1,BCC,787800873019.0000,10
2018,1,BCC,724111739233.0000,21
2018,1,BCC,63689133786.0000,30
2018,1,BCC,-6307774807.0000,70
2018,1,BCC,-4729435255.0000,72
2018,1,BCC,63682056882.0000,1100
2018,1,BCC,335511101085.0000,1300
2018,1,BCC,788181726689.0000,1400
2018,1,BCC,2638239732422.0000,3100
2018,1,BCC,1795272588133.0000,4100
2018,1,BCE,57980638850.0000,10
2018,1,BCE,55250487835.0000,21
2018,1,BCE,2730151015.0000,30
2018,1,BCE,24476601.0000,70
2018,1,BCE,24476601.0000,72
2018,1,BCE,13909452295.0000,1100
2018,1,BCE,881377124462.0000,1300
2018,1,BCE,189427241683.0000,1400
2018,1,BCE,776607264270.0000,3100
2018,1,BCE,356537231954.0000,4100
2018,1,BCE,300000000000.0000,4110
2018,1,BCG,362499642538.0000,10
2018,1,BCG,314202840155.0000,21
2018,1,BCG,48296802383.0000,30
2018,1,BCG,5420911226.0000,70
2018,1,BCG,3134213838.0000,72
2018,1,BCG,40907604327.0000,1100
2018,1,BCG,46180848579.0000,1200
2018,1,BCG,824311633755.0000,1300
2018,1,BCG,234950653906.0000,1400
2018,1,BCG,1074779191499.0000,3100
2018,1,BCG,1335735291530.0000,4100
2018,1,BCG,1080057600000.0000,4110
2018,1,BCM,1973446241603.0000,10
2018,1,BCM,1248900415964.0000,21
2018,1,BCM,657770888223.0000,30
2018,1,BCM,483601707564.0000,70
2018,1,BCM,456880531474.0000,72
2018,1,BCM,2042956507062.0000,1100
2018,1,BCM,602773879195.0000,1200
2018,1,BCM,6811633574309.0000,1300
2018,1,BCM,27417443626256.0000,1400
2018,1,BCM,25688018916210.0000,3100
2018,1,BCM,11074397819684.0000,4100
2018,1,BCM,7951756326147.0000,4110
2018,1,BDB,2386379860.0000,10
2018,1,BDB,1907515734.0000,21
2018,1,BDB,478864126.0000,30
2018,1,BDB,-122547985.0000,70
2018,1,BDB,-122547985.0000,72
2018,1,BDB,531055066.0000,1100
2018,1,BDB,2500000000.0000,1200
2018,1,BDB,9138167142.0000,1300
2018,1,BDB,4279899450.0000,1400
2018,1,BDB,7962965381.0000,3100
2018,1,BDB,12656492867.0000,4100
2018,1,BDB,11264740000.0000,4110
2018,1,BDC,331641870705.0000,10
2018,1,BDC,317003075890.0000,21
2018,1,BDC,14638794815.0000,30
2018,1,BDC,1476350201.0000,70
2018,1,BDC,1476350201.0000,72
2018,1,BDG,332096841904.0000,10
2018,1,BDG,251683137269.0000,21
2018,1,BDG,78043672264.0000,30
2018,1,BDG,30060461131.0000,70
2018,1,BDG,30060461131.0000,72
2018,1,BDG,114836763202.0000,1100
2018,1,BDG,65072500000.0000,1200
2018,1,BDG,206051734471.0000,1300
2018,1,BDG,184897120551.0000,1400
2018,1,BDG,442086338726.0000,3100
2018,1,BDG,232174856314.0000,4100
2018,1,BDG,120000000000.0000,4110
2018,1,BDT,109426772182.0000,10
2018,1,BDT,77433115182.0000,21
2018,1,BDT,31946027000.0000,30
2018,1,BDT,13647719048.0000,70
2018,1,BDT,13647719048.0000,72
2018,1,BDT,5435979803.0000,1100
2018,1,BDT,370389513889.0000,1200
2018,1,BDT,80273022472.0000,1300
2018,1,BDT,80080320429.0000,1400
2018,1,BDT,201281474781.0000,3100
2018,1,BDT,490547306213.0000,4100
2018,1,BDT,386000000000.0000,4110
2018,1,BDW,40805640248.0000,10
2018,1,BDW,28486331166.0000,21
2018,1,BDW,12298809908.0000,30
2018,1,BDW,2742558850.0000,70
2018,1,BDW,2742558850.0000,72
2018,1,BDW,16753542319.0000,1100
2018,1,BDW,21634797501.0000,1300
2018,1,BDW,27460068399.0000,1400
2018,1,BDW,49366395042.0000,3100
2018,1,BDW,130635968447.0000,4100
2018,1,BDW,124108000000.0000,4110
2018,1,BED,8656392157.0000,10
2018,1,BED,5290770916.0000,21
2018,1,BED,3332416191.0000,30
2018,1,BED,1185077166.0000,70
2018,1,BED,1185077166.0000,72
2018,1,BED,6729973271.0000,1100
2018,1,BED,2211976096.0000,1300
2018,1,BED,18134537869.0000,1400
2018,1,BED,15915575584.0000,3100
2018,1,BED,40586549206.0000,4100
2018,1,BED,30000000000.0000,4110
2018,1,BFC,1357344174915.0000,10
2018,1,BFC,1168937338031.0000,21
2018,1,BFC,172743992211.0000,30
2018,1,BFC,41890620769.0000,70
2018,1,BFC,34123616759.0000,72
2018,1,BFC,137302498022.0000,1100
2018,1,BFC,36000000000.0000,1200
2018,1,BFC,804117516992.0000,1300
2018,1,BFC,2029305141594.0000,1400
2018,1,BFC,2458933740851.0000,3100
2018,1,BFC,1253574242553.0000,4100
2018,1,BFC,571679930000.0000,4110
2018,1,BGW,25750786277.0000,10
2018,1,BGW,14716737139.0000,21
2018,1,BGW,11025363630.0000,30
2018,1,BGW,1200178128.0000,70
2018,1,BGW,1200178128.0000,72
2018,1,BGW,71068948113.0000,1100
2018,1,BGW,33946454810.0000,1200
2018,1,BGW,6053288407.0000,1300
2018,1,BGW,8290920385.0000,1400
2018,1,BGW,15782458435.0000,3100
2018,1,BGW,186378392992.0000,4100
2018,1,BGW,181494460205.0000,4110
2018,1,BHA,25602776823.0000,10
2018,1,BHA,28362165167.0000,21
2018,1,BHA,-2759388344.0000,30
2018,1,BHA,-34602726473.0000,70
2018,1,BHA,-34602726473.0000,72
2018,1,BHA,485434665.0000,1100
2018,1,BHA,41560281316.0000,1300
2018,1,BHA,197852840585.0000,3100
2018,1,BHA,592575688596.0000,4100
2018,1,BHA,660000000000.0000,4110
2018,1,BHG,7695754827.0000,10
2018,1,BHG,6630113367.0000,21
2018,1,BHG,1065641460.0000,30
2018,1,BHG,-267186064.0000,70
2018,1,BHG,-267186064.0000,72
2018,1,BHG,1261608905.0000,1100
2018,1,BHG,5114253922.0000,1300
2018,1,BHG,11713415501.0000,1400
2018,1,BHG,4273315958.0000,3100
2018,1,BHG,21638281182.0000,4100
2018,1,BHG,19500000000.0000,4110
2018,1,BHN,1430139052708.0000,10
2018,1,BHN,1042929621512.0000,21
2018,1,BHN,382646000107.0000,30
2018,1,BHN,110263456233.0000,70
2018,1,BHN,131371011291.0000,72
2018,1,BHN,2009764604199.0000,1100
2018,1,BHN,1362595206426.0000,1200
2018,1,BHN,373304800425.0000,1300
2018,1,BHN,851809608523.0000,1400
2018,1,BHN,3895456182186.0000,3100
2018,1,BHN,4620437357322.0000,4100
2018,1,BHN,2318000000000.0000,4110
2018,1,BHT,-1364945377.0000,70
2018,1,BHT,-1364945377.0000,72
2018,1,BHT,52867169.0000,1100
2018,1,BHT,29500344379.0000,1300
2018,1,BHT,115622041543.0000,1400
2018,1,BHT,74955119291.0000,3100
2018,1,BHT,1998119225.0000,4100
2018,1,BHT,46000000000.0000,4110
2018,1,BII,7702518858.0000,10
2018,1,BII,6405827072.0000,21
2018,1,BII,1288078767.0000,30
2018,1,BII,2100865495.0000,70
2018,1,BII,2433954452.0000,72
2018,1,BII,156908465.0000,1100
2018,1,BII,425564798137.0000,1300
2018,1,BII,7934816100.0000,1400
2018,1,BII,161233690995.0000,3100
2018,1,BII,617458250489.0000,4100
2018,1,BII,576800000000.0000,4110
2018,1,BKC,75318853599.0000,10
2018,1,BKC,68373396016.0000,21
2018,1,BKC,6945457583.0000,30
2018,1,BKC,3894196783.0000,70
2018,1,BKC,3894196783.0000,72
2018,1,BKC,12513029295.0000,1100
2018,1,BKC,37439487033.0000,1300
2018,1,BKC,61738493981.0000,1400
2018,1,BKC,114194698996.0000,3100
2018,1,BKC,155045499188.0000,4100
2018,1,BKC,117377280000.0000,4110
2018,1,BLF,107688185681.0000,10
2018,1,BLF,83452872584.0000,21
2018,1,BLF,23018949035.0000,30
2018,1,BLF,5683852086.0000,70
2018,1,BLF,5683852086.0000,72
2018,1,BLF,4693611920.0000,1100
2018,1,BLF,129063934163.0000,1300
2018,1,BLF,240085662707.0000,1400
2018,1,BLF,373227261961.0000,3100
2018,1,BLF,147519689665.0000,4100
2018,1,BLF,105000000000.0000,4110
2018,1,BLW,12982560381.0000,10
2018,1,BLW,7200702103.0000,21
2018,1,BLW,5779626759.0000,30
2018,1,BLW,1753587020.0000,70
2018,1,BLW,1753587020.0000,72
2018,1,BLW,15030355649.0000,1100
2018,1,BLW,5189138337.0000,1300
2018,1,BLW,6831872429.0000,1400
2018,1,BLW,10936285947.0000,3100
2018,1,BLW,113861164174.0000,4100
2018,1,BLW,111688000000.0000,4110
2018,1,BMC,18458814515.0000,10
2018,1,BMC,12960372216.0000,21
2018,1,BMC,5498442299.0000,30
2018,1,BMC,2165183473.0000,70
2018,1,BMC,2165183473.0000,72
2018,1,BMC,66705810260.0000,1100
2018,1,BMC,1000293600.0000,1300
2018,1,BMC,63874762082.0000,1400
2018,1,BMC,27853719533.0000,3100
2018,1,BMC,194624306139.0000,4100
2018,1,BMC,123926300000.0000,4110
2018,1,BMF,241262052747.0000,10
2018,1,BMF,228396128660.0000,21
2018,1,BMF,12816589597.0000,30
2018,1,BMF,4029753814.0000,70
2018,1,BMF,4029753814.0000,72
